script_text,prompt_img_nano,prompt_video_veo3
みなさん、こんにちは。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style with old-school 2D anime influence. The host — an older Japanese woman with silver-gray hair, gentle wrinkles around eyes and mouth, and relaxed mature posture — faces the viewer with a calm welcoming expression in a tidy Japanese living room, soft morning light from a window. Flat soft colors, low-saturation neutrals, gentle warm accents. Keep the same character identity and wardrobe family as the reference. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift, avoid moe anime drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
今日もこの動画を開いてくださって、ありがとうございます。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style with old-school 2D anime influence. The same older Japanese woman host with silver-gray hair and gentle wrinkles gives a slight appreciative bow of the head, warm grateful expression, same tidy Japanese living room with soft morning window light. Same wardrobe family, same character identity. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift, avoid doctor costume.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
突然ですが、こんな朝はありませんか。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair tilts her head slightly with a curious, gently questioning expression, one hand near her chin, same Japanese living room, same morning light. Same character identity and wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
ちゃんと寝たはずなのに、午前中からなんとなく体が重い。,"Generate a clean editorial manga illustration in a seinen soft educational style with old-school 2D anime influence. An older Japanese man (silver-gray hair, visible facial wrinkles, relaxed mature posture, age 65-75) sits on the edge of his futon in a small Japanese bedroom, early morning, looking tired and heavy-bodied despite having slept. Soft dawn light through a shoji screen. Flat soft colors, low-saturation neutrals. No readable text. Avoid speech pose, avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
特に何かをしたわけでもないのに、お昼前にはもう疲れている。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese man from the previous scene now sits slumped slightly at a low Japanese dining table before noon, resting his cheek on one hand, looking fatigued with no clear cause. Same small Japanese apartment interior, daylight. Same wardrobe family, same aging features (silver-gray hair, wrinkles). No readable text. Avoid speech pose, avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
年だから仕方ないと思っていらっしゃる方も多いかもしれません。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair tied back, gentle wrinkles, age-appropriate posture, age 65-75) sits in a Japanese tatami room with a resigned but calm expression, lightly touching her lower back, accepting tiredness as normal aging. Warm indoor daylight. No readable text. Avoid speech pose, avoid photorealistic drift, avoid youth drift, avoid dramatic expression.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
でも実は、そういう疲れやすさの原因が、毎朝の何気ない習慣に隠れていることがあるんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic split composition: on one side, a calm Japanese morning kitchen scene with a clock showing early morning; on the other side, subtle visual cues of small daily habits (a coffee cup, slippers, a curtain) with gentle connecting lines suggesting hidden causes. Clean panel-like clarity, low clutter, warm flat colors, educational explainer tone. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
今日の動画では、朝にやりがちな疲れにつながりやすい習慣を5つ、一緒に確認していきましょう。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles holds up one hand showing five fingers in a calm presentational gesture, warm encouraging expression, same Japanese living room with morning light. Same character identity and wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
どれも、ほんの少しの見直しで変えられるものばかりです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair gives a reassuring calm nod, one hand resting gently on the table, suggesting ease and simplicity. Same Japanese living room, same morning light, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
無理なく、できそうなところだけ取り入れていただければ大丈夫です。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a small open-palm welcoming gesture, gentle supportive expression, same Japanese living room. Same character identity and wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
それでは、さっそく見ていきましょう。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair makes a gentle beckoning gesture forward, warm inviting expression, same Japanese living room with morning light. Same character identity and wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
まず、少しだけ体の仕組みについてお話しさせてください。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles sits calmly at a Japanese table, one hand raised slightly as if about to explain something, attentive educational expression. Same Japanese living room, soft morning light. Same character identity and wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
60歳を過ぎると、体の目覚めのスイッチが少し入りにくくなります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration of an older person's body waking up slowly: a gentle silhouette of an older Japanese person (silver hair, visible wrinkles) with a dim internal glow gradually brightening, representing the body's wake-up switch becoming harder to activate after age 60. Clean symbolic composition, low clutter, warm flat colors, soft morning palette. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
