unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,prompt_mode,line_context_frame,prompt_img_nano
0,S01_opening,environment_bridge,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""今日のおはなしは、ふらつく前にあった小さな変化の話です。"", ""scene_group_id"": ""S01_opening"", ""visual_intent"": ""A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '今日のおはなしは、ふらつく前にあった小さな変化の話です。'. A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
1,S01_opening,environment_bridge,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""大きな事故の場面ではなく、静かな朝の小さな気づきから始まります。"", ""scene_group_id"": ""S01_opening"", ""visual_intent"": ""A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '大きな事故の場面ではなく、静かな朝の小さな気づきから始まります。'. A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
2,S01_opening,environment_bridge,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""主人公は七十二歳の美智子さんです。"", ""scene_group_id"": ""S01_opening"", ""visual_intent"": ""A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '主人公は七十二歳の美智子さんです。'. A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
3,S01_opening,environment_bridge,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""ひとり暮らしですが、近くに娘さん夫婦が住んでいます。"", ""scene_group_id"": ""S01_opening"", ""visual_intent"": ""A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: 'ひとり暮らしですが、近くに娘さん夫婦が住んでいます。'. A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
4,S01_opening,environment_bridge,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""美智子さんは、毎朝決まった時間に起き、台所でお湯を沸かすのが日課でした。"", ""scene_group_id"": ""S01_opening"", ""visual_intent"": ""A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '美智子さんは、毎朝決まった時間に起き、台所でお湯を沸かすのが日課でした。'. A small kamishibai theater card opens to a quiet Japanese spring morning outside an older wooden house. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
5,S02_michiko_morning_pillar,everyday_example,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""その日も、春の終わりの、よく晴れた朝でした。"", ""scene_group_id"": ""S02_michiko_morning_pillar"", ""visual_intent"": ""Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: 'その日も、春の終わりの、よく晴れた朝でした。'. Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
6,S02_michiko_morning_pillar,everyday_example,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""障子の向こうから、やわらかい光が畳に落ちていました。"", ""scene_group_id"": ""S02_michiko_morning_pillar"", ""visual_intent"": ""Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '障子の向こうから、やわらかい光が畳に落ちていました。'. Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
7,S02_michiko_morning_pillar,everyday_example,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""美智子さんは布団の中で目を覚まし、いつものように起き上がろうとしました。"", ""scene_group_id"": ""S02_michiko_morning_pillar"", ""visual_intent"": ""Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '美智子さんは布団の中で目を覚まし、いつものように起き上がろうとしました。'. Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
8,S02_michiko_morning_pillar,everyday_example,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""昔なら、すぐに立って台所へ向かっていたところです。"", ""scene_group_id"": ""S02_michiko_morning_pillar"", ""visual_intent"": ""Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: '昔なら、すぐに立って台所へ向かっていたところです。'. Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
9,S02_michiko_morning_pillar,everyday_example,none,no_readable_text,line_context_locked_keyframe,"{""script_text"": ""けれどその朝は、体がまだ眠っているように感じました。"", ""scene_group_id"": ""S02_michiko_morning_pillar"", ""visual_intent"": ""Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar""}","kamishibai paper theater illustration, hand-painted gouache and watercolor on warm textured paper, soft pencil contour, muted warm colors, simple stage-like framed composition, Japanese domestic setting, gentle expressions, visible paper grain, no photorealism, no glossy CG, no digital anime rendering, no readable text. Scene locked to narration line: 'けれどその朝は、体がまだ眠っているように感じました。'. Michiko, a 72-year-old Japanese woman with short gray hair, soft wrinkles, modest cardigan and long skirt, moves slowly from futon to hallway and gently places one hand near a wooden pillar. Composition should express this exact moment only, with one clear focal point and calm senior-friendly readability. Avoid dramatic falling, panic, hospital emergency imagery, red warning graphics, speech bubbles, lip-sync pose, mouth-open acting, clutter, photorealism, glossy CG."
