unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
0,first_frame_only,object_inspection_push,4,checklist,open clinic bag and scattered generic cards,"Motion beat 001 uses checklist focus on open clinic bag and scattered generic cards. Use a slow push-in toward open clinic bag and scattered generic cards; the senior's hands slowly move one pouch aside and pause near the open bag. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
1,first_frame_only,daily_action_follow,6,contrast,card case and hands,"Motion beat 002 uses contrast focus on card case and hands. Use a gentle left-to-right pan toward card case and hands; the hands gently slide the pouch closer to the camera. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
2,first_frame_only,daily_pause_observe,4,solution_demo,forgotten booklet and waiting bag,"Motion beat 003 uses solution_demo focus on forgotten booklet and waiting bag. Use a soft downward tilt toward forgotten booklet and waiting bag; the camera reveals the booklet left apart from the bag. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
3,first_frame_only,object_in_use_micro,6,expert_emphasis,prepared items,"Motion beat 004 uses expert_emphasis focus on prepared items. Use a small parallax drift toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
4,first_frame_only,environment_observe_tilt,6,checklist,prepared items,"Motion beat 005 uses checklist focus on prepared items. Use a steady close-up hold with slight settling toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
5,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,prepared items,"Motion beat 006 uses solution_demo focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
6,first_frame_only,process_layer_drift,6,contrast,organized pouches,"Motion beat 007 uses contrast focus on organized pouches. Use a gentle left-to-right pan toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
7,first_frame_only,host_listening_drift,6,checklist,prepared items,"Motion beat 008 uses checklist focus on prepared items. Use a soft downward tilt toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
8,first_frame_only,environment_breathing_pan,6,expert_emphasis,shoes and hands-free bag,"Motion beat 009 uses expert_emphasis focus on shoes and hands-free bag. Use a small parallax drift toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
9,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,reception pouch,"Motion beat 010 uses solution_demo focus on reception pouch. Use a steady close-up hold with slight settling toward reception pouch; the hands gently slide the pouch closer to the camera. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
