unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
0,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A Japanese summer living room. An elderly Japanese woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) sits calmly on a sofa near a running wall-mounted AC unit. A wall thermo-hygrometer subtly reads 31 degrees. Warm afternoon light through thin curtains. Same character identity from reference. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
1,SG01,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of an AC remote control showing cooling mode, and a glass of water on a low wooden table beside it. Ordinary Japanese living room background, summer light. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
2,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same Japanese living room. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) glances toward the window where afternoon sun heats the wall. Gentle questioning expression. Same character, same room, same summer light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
3,SG01,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Soft wide shot of the same living room. Warm light reveals subtle heat shimmer near the sunlit wall. The room looks comfortable but hints at hidden warmth. Same room continuity. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
4,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) looks at a simple notebook on the table, as if ready to learn something practical. Calm, attentive posture. Same character, same living room. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
5,SG01,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of ordinary household items on a table: a glass of water, a small towel, a simple thermo-hygrometer. No special equipment. Japanese domestic setting. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
6,SG01,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The same living room with a wall calendar showing summer month. Simple, tidy Japanese apartment interior. Warm but practical atmosphere. Same room continuity. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
7,SG01,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Gentle wide shot of the same Japanese living room with summer light. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) sits peacefully, ready to start her day. Calm reassuring mood. Same character, same room. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
8,SG02,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) listens attentively, seated in same living room. Soft natural light, calm educational atmosphere. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
9,SG02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A simple metaphor scene: a thermometer icon near human skin silhouette, showing the concept of reduced heat sensitivity. Clean symbolic illustration, low clutter. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
