unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano,retention_beat_type,attention_target,visual_hook_override_used
0,genkan_check,genkan_check,no_host,no_readable_text,,retention_opening_override,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a clearly senior Japanese person with gray hair, facial wrinkles, and mature posture gently searching an open clinic bag. Setting: ordinary Japanese genkan with low shoe bench, neatly placed walking shoes, soft morning light. The image supports this spoken line about: 通院の日の朝、バッグの中を何度も探して、出発前から疲れてしまうことはありませんか。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",hook_question,open clinic bag and scattered generic cards,true
1,object_closeup,object_closeup,no_host,no_readable_text,,retention_opening_override,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands opening a small card case with generic blank cards. Setting: genkan bench beside a modest clinic bag. The image supports this spoken line about: 診察券は入れたはずなのに、いざ玄関に立つと見当たらない。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",relatable_scenario,card case and hands,true
2,missing_item,missing_item,no_host,no_readable_text,,retention_opening_override,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a medicine notebook-like booklet left on a shelf while the clinic bag waits near the door. Setting: compact Japanese apartment entryway with warm domestic shelves. The image supports this spoken line about: お薬手帳も、別の棚に置いたままだった。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",missing_item_reveal,forgotten booklet and waiting bag,true
3,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: そんな小さな探し物が重なると、予約の時間が気になって、つい足早になってしまいます。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
4,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 通院は、診察を受けるだけでも体力を使います。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
5,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: できれば、家を出る前の焦りは少しでも減らしておきたいですね。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
6,checklist_table,checklist_table,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show five small unlabeled pouches grouped neatly as a visual checklist without readable writing. Setting: Japanese dining table under soft light. The image supports this spoken line about: そこで今日は、通院の日に持っていきたいものを、五つのまとまりで確認していきます。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,organized pouches,false
7,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 難しい準備ではありません。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
8,outing_safety,outing_safety,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a clearly senior Japanese person checking comfortable walking shoes and a hands-free shoulder bag. Setting: Japanese genkan with handrail and tidy floor. The image supports this spoken line about: 前日の夜に、いつものバッグやポーチへまとめておくだけでも大丈夫です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,shoes and hands-free bag,false
9,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 受付で困らないもの、診察で伝えるもの、待ち時間を楽にするもの。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
