unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
0,first_frame_only,daily_pause_observe,4,danger_reveal,the heavy but safe morning posture,"Focused motion beat 1 for heavy morning scene. danger reveal role; Slow forward drift; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
1,first_frame_only,object_inspection_push,6,near_miss,the heavy but safe morning posture,"Focused motion beat 2 for heavy morning scene. near miss role; Gentle lateral slide; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
2,first_frame_only,process_layer_drift,6,contrast,the heavy but safe morning posture,"Focused motion beat 3 for heavy morning scene. contrast role; Soft overhead-to-front tilt; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
3,first_frame_only,comparison_parallax_hold,8,checklist,the heavy but safe morning posture,"Focused motion beat 4 for heavy morning scene. checklist role; Measured parallax hold; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
4,first_frame_only,environment_breathing_pan,4,expert_emphasis,the heavy but safe morning posture,"Focused motion beat 5 for heavy morning scene. expert emphasis role; Calm push-in; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
5,first_frame_only,daily_action_follow,6,solution_demo,the review areas,"Focused motion beat 6 for three gentle review areas. solution demo role; Subtle rightward pan; the camera glides from the window-light area toward the notebook area in a restrained comparison. Keep attention on the review areas. subtle parallax separates the review areas. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
6,first_frame_only,process_signal_pulse,6,danger_reveal,the daylight entering the room,"Focused motion beat 7 for window daylight and curtain. danger reveal role; Slow reveal drift; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
7,first_frame_only,object_in_use_micro,8,near_miss,the calmer sleep environment,"Focused motion beat 8 for bedroom environment. near miss role; Steady observational hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
8,first_frame_only,comparison_reveal_shift,4,contrast,the simple note-taking action,"Focused motion beat 9 for simple notebook and consultation cue. contrast role; Slow forward drift; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
9,first_frame_only,environment_observe_tilt,6,checklist,the heavy but safe morning posture,"Focused motion beat 10 for heavy morning scene. checklist role; Gentle lateral slide; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
