unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
1,first_frame_only,host_gentle_push,6,"Gentle slow push toward the subject. She blinks softly and shifts her weight slightly, hands resting calmly on her lap. Nearby curtain sways faintly in a summer breeze. Preserve the warm welcoming mood, the exact character identity, and the existing appearance of the source image. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
2,first_frame_only,environment_observe_tilt,6,"Slow gentle tilt upward across the TV screen area. The weather forecast sun icon pulses faintly with a warm glow. Soft light shifts across the living room wall. Preserve the calm informational mood and the existing scene composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
3,first_frame_only,process_layer_drift,6,"Gentle lateral parallax drift from outdoor side to indoor side. Heat shimmer lines near the ceiling ripple softly. Outdoor light pulses with a faint warm glow while the indoor area remains still. Preserve the split composition and the explanatory mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
4,first_frame_only,daily_pause_observe,6,"Gentle slow push. The woman fans herself with a subtle wrist motion, the hand fan moves gently back and forth. Heat shimmer lines above drift slowly upward. Preserve the calm domestic mood and the exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
5,first_frame_only,object_inspection_push,4,"Slow inspection push toward the three objects. A faint warm glow pulses gently on each item in sequence — thermometer, glass, notebook. Preserve the checklist layout and warm explanatory mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
6,first_frame_only,object_inspection_push,4,"Gentle push toward the low table objects. A subtle warm highlight drifts across the thermometer, barley tea glass, and notebook in turn. Preserve the domestic setting and object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
7,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman makes a small reassuring hand gesture, fingers opening slightly. Her clothing shifts with a subtle breath movement. Preserve the warm inviting atmosphere, the exact character identity, and the existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
8,first_frame_only,environment_breathing_pan,6,"Slow breathing pan across the living room. Sunlight through the window brightens gradually. The small electric fan's blades are still. Faint dust motes drift in the light beam. Preserve the calm transitional mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
9,first_frame_only,process_signal_pulse,6,"Gentle push toward the symbolic composition. The ambulance icons at the base pulse with a faint warm-orange glow one by one. Preserve the clean informational layout and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
10,first_frame_only,process_signal_pulse,4,"Slow push toward the peak column. The tallest bar pulses with a warm accent glow. Preserve the minimal chart composition and explanatory mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
11,first_frame_only,process_signal_pulse,6,"Gentle push. The larger pie segment pulses softly with a warm accent. The small elderly silhouettes within shift with a faint breathing parallax. Preserve the symbolic data layout. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
12,first_frame_only,process_signal_pulse,6,"Slow push toward the house cross-section. The interior warm glow pulses gently, and the proportion indicator brightens subtly. Preserve the clean symbolic composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
13,first_frame_only,daily_pause_observe,6,"Gentle slow push. The woman shifts slightly in her seat. Heat shimmer lines near the ceiling drift slowly upward. Summer daylight on the wall shifts faintly. Preserve the calm domestic mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
14,first_frame_only,process_layer_drift,6,"Gentle layered parallax drift. The dimmed sensor dots on the body silhouette pulse faintly — some brightening, some staying dim. Preserve the clean symbolic diagram and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
15,first_frame_only,daily_pause_observe,6,"Gentle push. The woman turns a magazine page slowly. The wall thermometer display catches a faint light shift. Preserve the warm domestic mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
16,first_frame_only,daily_action_follow,6,"Gentle push. The woman's raised hand hesitates slightly, fingers twitching near the AC remote. Her expression remains uncertain. Preserve the domestic setting and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
17,first_frame_only,host_listening_drift,6,"Slow lateral drift. The woman nods gently, her shoulders rising and falling with a calm breath. Soft daylight shifts on the wall behind her. Preserve the understanding mood, the exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
18,first_frame_only,process_signal_pulse,6,"Slow push. The heat gradient intensifies subtly from floor to ceiling — the warm-orange zone pulses gently upward. The thermometer icon brightens with a faint alert glow. Preserve the cross-section layout. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
19,first_frame_only,comparison_reveal_shift,6,"Gentle lateral drift from the rainy left side to the sunny right side. Rain droplets on glass glisten faintly, while sunlight on the right pulses with growing warmth. Preserve the seasonal transition composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
20,first_frame_only,process_layer_drift,6,"Slow parallax drift from left to right along the timeline. The discomfort wavy lines on the left pulse and gradually settle toward the calm right side. Preserve the symbolic adaptation diagram. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
21,first_frame_only,environment_breathing_pan,6,"Slow breathing pan across the living room. Summer daylight through the curtains shifts gently. The AC unit and thermometer on the shelf catch subtle light changes. Preserve the clean domestic scene. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
22,first_frame_only,object_inspection_push,6,"Gentle inspection push toward the thermometer-hygrometer. The green zone indicator pulses with a faint reassuring glow. Light shifts subtly on the wooden shelf surface. Preserve object clarity and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
23,first_frame_only,object_inspection_push,4,"Slow push toward the AC unit and remote. The visual distinction cue between setting and actual temperature pulses gently. Preserve the explanatory composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
24,first_frame_only,object_inspection_push,6,"Gentle push between the thermometer on the shelf and the AC unit in background. A subtle visual mismatch cue pulses softly. Light shifts on the shelf. Preserve the explanatory domestic scene. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
25,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman presses the AC remote with a calm thumb motion, then lowers her hand. Her expression relaxes slightly. Preserve the reassured mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
26,first_frame_only,object_inspection_push,4,"Slow inspection push toward the hygrometer. The color-zone indicator shifts subtly between green and orange zones. Light moves gently across the shelf surface. Preserve object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
27,first_frame_only,comparison_parallax_hold,6,"Controlled lateral parallax between the two humidity zones. The comfortable side breathes gently while the high-humidity side shows faint moisture droplet drift. Preserve the split comparison composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
28,first_frame_only,object_inspection_push,4,"Gentle push toward the round thermometer-hygrometer. Light reflects softly off its surface. The barley tea glass beside it shows a faint condensation shimmer. Preserve object clarity and warm domestic tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
29,first_frame_only,daily_action_follow,6,"Gentle observational follow. The woman reaches toward a shelf product, her fingers hovering near a small thermometer box. Store lighting shifts subtly. Preserve the everyday shopping mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
30,first_frame_only,object_inspection_push,6,"Slow push toward the AC unit. The warm protective glow or shield aura pulses gently with a breathing rhythm. Preserve the symbolic protective-tool framing and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
31,first_frame_only,host_listening_drift,6,"Slow lateral drift. The woman breathes calmly, shoulders relaxing. The running AC unit in background hums visually with a faint air-shimmer effect. Preserve the relaxed mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
32,first_frame_only,daily_action_follow,6,"Gentle follow. The woman takes a step toward the genkan, her handbag shifting slightly. The AC in the background continues with a faint air-shimmer. Preserve the domestic departure mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
33,first_frame_only,object_in_use_micro,6,"Slow push. The airflow arrows animate gently — redirecting upward and along the wall. Faint air-current lines drift along the ceiling. Preserve the AC circulation demonstration and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
34,first_frame_only,object_in_use_micro,6,"Gentle push. The AC airflow arrows and circulator fan arrows animate in a gentle coordinated loop, showing combined air circulation. Faint air-shimmer drifts across the room. Preserve the domestic scene composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
35,first_frame_only,environment_breathing_pan,6,"Slow breathing pan across the nighttime bedroom. The AC unit glows faintly with a soft operating indicator. The bedside thermometer catches a dim light reflection. Curtain edge sways minimally. Preserve the calm nighttime mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
36,first_frame_only,object_inspection_push,6,"Gentle push toward the sudare blind. Sunlight filters through the bamboo slats, creating shifting stripe shadows on the interior wall. The blind sways faintly in a breeze. Preserve the warm-orange sunlight accent and object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
37,first_frame_only,object_inspection_push,6,"Slow push toward the yoshizu screen. The cool shadow cast into the interior shifts subtly as light changes. A faint breeze moves the top edge of the screen. Preserve the shading demonstration and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
38,first_frame_only,comparison_parallax_hold,6,"Controlled parallax between the two window sides. On the left, warm light still seeps past the curtain. On the right, the cooler shade deepens subtly. Preserve the split comparison composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
39,first_frame_only,environment_breathing_pan,6,"Gentle breathing pan. The curtain sways softly with a faint breeze, light shifting across the room. A sense of fresh air movement. Preserve the calm transitional mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
40,first_frame_only,daily_action_follow,6,"Gentle follow. The woman pushes the window open with both hands. Cool airflow lines animate gently from outside in. Morning light brightens gradually. Preserve the fresh-air domestic mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
41,first_frame_only,environment_observe_tilt,6,"Slow observe tilt across the room. Curtain edges stay perfectly still, sealed. Bright sunlight pulses faintly outside through the curtain edges while the interior remains cool-toned. Preserve the sealed-room effect. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
42,first_frame_only,environment_breathing_pan,6,"Gentle breathing pan across the kitchen counter. Condensation forms subtly on the pitcher surface. Summer daylight shifts through the window. Preserve the warm hydration-intro mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
43,first_frame_only,process_signal_pulse,6,"Gentle push. The dimmed throat sensor area pulses faintly while the body's internal water-level indicator drops slowly. Preserve the symbolic diagram layout and warm earth tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
44,first_frame_only,process_layer_drift,6,"Gentle parallax drift. The thought bubble's calm expression remains still while the body silhouette's water level indicator drops subtly. Preserve the symbolic comparison composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
45,first_frame_only,object_in_use_micro,6,"Slow push. Water pours gently from a pitcher into the glass — a brief pouring animation. The clock icon hand ticks once. Preserve the proactive timing concept and warm domestic tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
46,first_frame_only,object_inspection_push,4,"Gentle drift along the row of glasses. Each glass catches a sequential light highlight from left to right. Preserve the checklist layout and object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
47,first_frame_only,object_inspection_push,4,"Slow push toward the glass. Light reflects subtly off the water surface with a faint shimmer. Preserve object clarity and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
48,first_frame_only,process_layer_drift,6,"Gentle lateral drift along the timeline strip. Each moment icon brightens sequentially from morning to night, with its paired glass gaining a subtle water-shimmer. Preserve the checklist-friendly layout. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
49,first_frame_only,daily_pause_observe,6,"Gentle push. The woman raises the glass slowly to take a small sip. Dim warm light glows softly on the tatami. Preserve the calm nighttime bedroom mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
50,first_frame_only,object_inspection_push,4,"Slow inspection push toward the teapot and glass. Faint steam wisps drift upward from the teapot spout. Light shifts gently on the tray surface. Preserve object clarity and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
51,first_frame_only,object_inspection_push,4,"Gentle push toward the ORS packet. Light catches the packaging surface with a subtle shift. The towel fabric texture catches a faint shadow change. Preserve object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
52,first_frame_only,comparison_parallax_hold,6,"Controlled parallax across the split comparison. The caution indicator on the left side pulses gently downward while the positive indicator on the right pulses gently upward. Preserve the comparison composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
53,first_frame_only,daily_pause_observe,6,"Gentle push toward the dining table. Faint steam rises from the miso soup bowl. The barley tea surface catches a subtle light shimmer. Preserve the warm domestic meal scene. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
54,first_frame_only,object_inspection_push,4,"Slow push across the meal tray. Steam drifts from the miso soup. The watermelon slice glistens with a faint moisture highlight. Preserve object clarity and warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
55,first_frame_only,object_inspection_push,4,"Gentle push toward the side table. The water bottle and glass catch a subtle light shift. The sofa fabric shows a faint texture detail. Preserve the easy-reach domestic composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
56,first_frame_only,daily_pause_observe,6,"Gentle push. The woman shifts slightly in her chair. The doctor across the desk makes a small reassuring hand gesture. Preserve the calm clinical consultation mood and exact character identities. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
57,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman's hand over her heart shifts with a subtle breath. Her expression remains warm and reassuring. Soft daylight moves gently on the wall. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
58,first_frame_only,environment_breathing_pan,6,"Slow breathing pan across the bright apartment interior. Heat shimmer intensifies subtly near the window. Summer daylight pulses with a warm-orange glow. Preserve the transitional mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
59,first_frame_only,process_signal_pulse,6,"Gentle push. The alert indicators on the body silhouette pulse sequentially — head, stomach, legs — each glowing warm-orange briefly. Preserve the symbolic warning-signal composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
60,first_frame_only,process_layer_drift,6,"Slow parallax drift. The dimmed sensor dots flicker faintly, some attempting to brighten but remaining muted — showing unnoticed signals. Preserve the symbolic diagram and muted warm tones. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
61,first_frame_only,host_listening_drift,6,"Slow lateral drift. The woman touches her chin thoughtfully, then lowers her hand gently. Her expression shifts from slightly concerned to calm resolve. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
62,first_frame_only,daily_pause_observe,6,"Gentle push. The woman touches her forehead and sways almost imperceptibly. The dizzy-star indicators pulse faintly near her head. Preserve the mild dizziness depiction and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
63,first_frame_only,daily_pause_observe,6,"Gentle slow push. The woman's shoulders drop slightly. A subtle low-energy shimmer aura dims around her. Preserve the fatigue depiction and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
64,first_frame_only,daily_action_follow,6,"Gentle push. The woman reaches down and gently holds her calf, her fingers pressing softly. A faint tension indicator pulses at the muscle area. Preserve the leg cramp depiction and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
65,first_frame_only,daily_pause_observe,6,"Gentle push. The woman presses her temple gently, her eyes narrowing slightly with discomfort. A faint nausea aura pulses near her stomach area. Preserve the mild symptom depiction and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
66,first_frame_only,comparison_reveal_shift,6,"Controlled lateral shift between the two silhouettes. On the left, sweat droplets animate downward. On the right, the dry skin remains still with the caution symbol pulsing. Preserve the comparison warning composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
67,first_frame_only,process_signal_pulse,6,"Gentle push. All alert signals on the body silhouette pulse simultaneously with a warm-orange glow, then dim in sequence, representing the body's collective heat overload communication. Preserve the symbolic summary. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
