unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,line_context_frame,prompt_img_nano
0,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""朝、目が覚めた瞬間から、もう体が重い。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 朝、目が覚めた瞬間から、もう体が重い。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
1,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""布団の中で十分休んだはずなのに、起きる気力がなかなか湧いてこない。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 布団の中で十分休んだはずなのに、起きる気力がなかなか湧いてこない。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
2,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""そんな朝が、何日も続いていませんか。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: そんな朝が、何日も続いていませんか。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
3,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""年齢のせいだから仕方ない、と片づけたくなることもありますよね。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 年齢のせいだから仕方ない、と片づけたくなることもありますよね。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
4,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""でも、朝のだるさには、暮らしの中で見直せる手がかりが隠れていることがあります。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: でも、朝のだるさには、暮らしの中で見直せる手がかりが隠れていることがあります。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
5,three_points,comparison_pair,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""今日の動画では、朝のだるさが続く方に確認していただきたいことを、三つに絞ってお話しします。"", ""visualizable_core"": ""three gentle review areas"", ""scene_function"": ""comparison_pair"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""three_points"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A clean side-by-side educational composition showing morning window light, quiet bedroom, and a simple notebook without any text. Balanced panel-like layout, Japanese home cues, clear but not infographic-like. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 今日の動画では、朝のだるさが続く方に確認していただきたいことを、三つに絞ってお話しします。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
6,morning_light,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""一つ目は、朝の光の入れ方。"", ""visualizable_core"": ""window daylight and curtain"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""morning_light"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture gently opening curtains or sitting near a bright window in an ordinary Japanese apartment morning, showing natural daylight without rushing. Soft dawn-to-morning light, tidy tatami or simple bedroom/living room details, practical senior home clothing, low clutter. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 一つ目は、朝の光の入れ方。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
7,night_environment,environment_bridge,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""二つ目は、前の晩の寝室の整え方。"", ""visualizable_core"": ""bedroom environment"", ""scene_function"": ""environment_bridge"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""night_environment"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A quiet Japanese bedroom scene with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture preparing a calmer sleep environment, dim warm lamp, smartphone placed away from the pillow, bedding arranged neatly. Evening atmosphere, darkened room, calm household props, no visible screen content. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 二つ目は、前の晩の寝室の整え方。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
8,record_consult,object_focus,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""三つ目は、だるさが続くときの記録と相談の目安です。"", ""visualizable_core"": ""simple notebook and consultation cue"", ""scene_function"": ""object_focus"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""record_consult"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A close calm view of weathered senior hands writing simple marks in a small notebook, or holding it during an ordinary routine clinic consultation context. Ordinary Japanese home table or calm clinic waiting space, blank-looking notebook pages with no readable text. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 三つ目は、だるさが続くときの記録と相談の目安です。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
9,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""今回は、前の二本で扱った朝の基本動作や食事の話を、ここでは繰り返しません。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 今回は、前の二本で扱った朝の基本動作や食事の話を、ここでは繰り返しません。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
